标准答案,题干,选项A,选项B,选项C,选项D,选项E,,,
A,胃内蓄积血量达300ml可出现,呕血,嗜睡,头昏,大便隐血试验阳性,周围循环衰竭,,,
B,粒细胞缺乏症是指,白细胞总数小于4×109/L,中性粒细胞数小于0.5×109/L,中性粒细胞数小于1.5×109/L,中性粒细胞数小于2×109/L,中性粒细胞数小于1×109/L,,,
E,网织红细胞减少的疾病为,急性失血性贫血,糖尿病酮症酸中毒,真性红细胞增多症,大面积烧伤,急性白血病,,,
D,暴饮暴食后出现的急性腹痛多为,肝破裂,脾破裂,胆石症,急性胰腺炎,十二指肠溃疡,,,
A,医学科研的道德准则是,实事求是，真诚协作,实事求是，脚踏实地,实事求是，互相合作,实事求是，团结合作,实事求是，务实协作,,,
A,中医临床诊断中对四诊的道德要求是,安神定志,认真负责,态度端正,审慎保密,严谨细致,,,
D,医患沟通的意义中不包括,是医学人文精神的需要,是医学诊断的需要,是医学目的的需要,是提高医生技术水平的需要,是临床治疗的需要,,,
C,肝火犯肺证、燥邪犯肺证、热邪壅肺证、肺阴虚证四证的共同表现是,胁肋灼痛,急躁易怒,咳嗽咳血,潮热盗汗,五心烦热,,,
D,不属于湿淫证临床表现的是,头重如裹,口腻不渴,胸脘痞闷,气短神疲,纳呆恶心,,,
A,主要候五脏病变的是,舌质,舌苔,舌尖,舌中,舌根,,,
E,舌淡白湿润，舌体胖嫩者，常提示的是,脾胃湿热,气分有湿,阴虚夹湿,瘀血内阻,阳虚水湿内停,,,
E,下列哪种证型可见舌绛少苔有裂纹,气血两虚,热邪内盛,脾虚湿侵,瘀血内阻,阴虚火旺,,,
D,舌苔出现剥脱在舌中部多为,肝经气滞,脾失健运,心火上炎,胃阴不足,肾阴虚,,,
D,脉之大会为,尺,关,趺阳,寸口,人迎,,,
D,见微知著主要指的是,将病人与其所处环境结合起来综合地判断病情,四诊并重，诸法参用，综合收集病情资料,通过诊察其反映于外部的现象，揣测内在的变动,通过微小的变化，测知整体的情况,在认识正常的基础上，发现太过、不及的异常变化,,,
B,干咳无痰，气逆而喘，头痛身热，咽喉干燥，鼻燥，胸满胁痛，舌干少苔，脉虚大或数。首选用方为,麦门冬汤,清燥救肺汤,桑杏汤,定喘汤,杏苏散,,,
B,济川煎的组成药物中含有,熟地,牛膝,生地,玄参,麦冬,,,
C,下列哪项是旋覆花、代赭石在旋覆代赭汤中的配伍意义,化痰消食和胃,平冲降逆和胃,除噫气，镇冲逆,祛痰降逆和胃,温胃化痰止呕,,,
E,长骨结核好发于,颈椎,胸椎,腰椎,膝关节,骺和干骺端,,,
B,严重下肢动脉硬化患者常采取的步态是,痉挛性偏瘫步态,间歇性跛行,鸭步,慌张步态,剪刀步态,,,
A,急性左心衰竭常有,咳粉红色泡沫痰,唇色、睑结膜苍白,午后潮热，盗汗,弛张热，巩膜黄染,咳铁锈色痰,,,
C,正常人呼吸与脉搏之比为,1:02,1:03,1:04,1:05,1:01,,,
B,评价和衡量医务人员医疗行为是否符合道德以及道德水平高低的重要标志是,服务标准,疗效标准,社会标准,科学标准,技术标准,,,
D,以下哪项是清营汤的功用,清营养阴，宁心安神,清营凉血，养阴生津,清营透热，养阴活血,清营解毒，透热养阴,清营养阴，凉血散瘀,,,
D,下列不属于上焦病证的是,邪袭肺卫证,湿蒙心包证,邪陷心包证,阳明热结证,湿热阻肺证,,,
B,睡后易醒，醒后不易入睡多见于,心肾不交,心脾两虚,胆郁痰扰,食滞内停,以上均不是,,,
B,痛无定处，按之无形，聚散不定者为,积,聚,结胸,鼓胀,痞满,,,
A,瘀血久停所致的面色特点是,面色黧黑,面色（白光）白,黄如烟熏,面色紫黑,眼眶黑黧,,,
C,口角、唇边、鼻旁出现成簇粟米大小水泡，灼热痒痛为,麻疹,风疹,热疮,湿疹,水痘,,,
D,口干但欲漱水不欲咽，兼见面色黧黑者，多属,阴虚证,湿热证,痰饮内停,瘀血内停,温病营分证,,,
C,患者口唇赤肿而干，提示,血虚,热盛,热极,血瘀,寒盛,,,
E,治疗虚热肺痿宜用,一贯煎,桑杏汤,玉液汤,六味地黄丸,麦门冬汤,,,
C,头目眩晕，目胀耳鸣，脑部热痛，面色如醉，心中烦热；口眼渐形歪斜，甚或眩晕颠扑，醒后不能复元，脉弦长有力，宜用,川芎茶调散,小活络丹,镇肝息风汤,消风散,天麻钩藤饮,,,
E,羌活胜湿汤与九味羌活汤的组成药物中均含有的是,黄芩、川芎,羌活、藁本,羌活、独活,羌活、蔓荆子,防风、川芎,,,
E,双侧上眼睑下垂见于,脑炎,脑脓肿,蛛网膜下腔出血,脑出血,重症肌无力,,,
C,下列哪项疾病引起的是前庭障碍性呕吐,胃肠神经症,癔症,梅尼埃病,急性心肌梗死,异位刺激,,,
B,引起心源性呼吸困难的主要疾病为,重症肺炎,左心衰竭,重症肺结核,右心衰竭,以上均非,,,
D,脑出血引起发热的主要原因是,皮肤散热量的减少,感染性发热,植物神经功能紊乱,体温调节中枢的功能失常,无菌性坏死物质的吸收,,,
C,下列情况可见病理性蛋白尿的是,严重受寒,肾结核,妊娠中毒,剧烈活动后,选项均非,,,
A,在胸骨左缘第3、4肋间触及收缩期震颤，应考虑为,室间隔缺损,二尖瓣狭窄,三尖瓣狭窄,肺动脉瓣狭窄,主动脉瓣关闭不全,,,
B,生命质量的衡量标准不包括的是,个体的身体状态,个体生命优化条件,个体的智力状态,生命的意义和目的,操作质量,,,
E,病室有蒜臭气味多见于,肾衰,失血,消渴病,瘟疫类疾病,有机磷中毒,,,
D,按之疼痛，固定不移，多为内有,瘀血肿块,脾胃气虚,内痈,瘀血,气滞,,,
E,心阳虚脱证的表现为,心悸,胸痛,冷汗,脉微,以上都是,,,
A,属于假神表现的是,除中,厌食,饥不欲食,消谷善饥,食欲减退,,,
B,痰白而清稀，或有灰黑点者多属,热痰,寒痰,湿痰,燥痰,肺痈,,,
A,口角歪斜兼半身不遂者见于,中风病,破伤风,狂犬病,慢惊风,急惊风,,,
C,以益气生津，敛阴止汗为功用的方剂是,四逆汤,四物汤,生脉散,当归补血汤,补中益气汤,,,
B,清气化痰丸的功效为,润肺清热，理气化痰,清热化痰，理气止咳,化痰息风，健脾祛湿,燥湿化痰，理气和中,益气祛风，健脾利水,,,
E,咽中如有物阻，咯吐不出，吞咽不下，胸膈满闷，脉弦滑，选方为,越鞠丸,柴胡疏肝散,定喘汤,苏子降气汤,半夏厚朴汤,,,
C,阴虚火旺，发热盗汗，面赤心烦，口干唇燥，便结溲黄，舌红，脉数者，治疗宜选方剂是,知柏地黄丸,六味地黄丸,当归六黄汤,牡蛎散,大补阴丸,,,
B,治疗心热移于小肠，小便短赤，溲时热涩刺痛者，应选用,败毒散,导赤散,玉女煎,竹叶石膏汤,黄连解毒汤,,,
E,苏子降气汤组成中不包含的药物是,肉桂,前胡,厚朴,当归,葶苈子,,,
C,下列组成药物中含有白果的是,固冲汤,固经丸,易黄汤,桑杏汤,失笑散,,,
A,白术与苍术并用的方剂是,完带汤,健脾丸,藿香正气散,九味羌活汤,参苓白术散,,,
E,真武汤与实脾散均含有的药物是,白术、干姜、附子,茯苓、干姜、附子,甘草、茯苓、附子,甘草、茯苓、干姜,白术、茯苓、附子,,,
B,下列组成药物中不含有甘草的方剂是,杏苏散,猪苓汤,八正散,小蓟饮子,蒿芩清胆汤,,,
A,下列哪项不是散剂的特点,吸收缓慢,节省药材,便于携带,制作简便,不易变质,,,
D,下列一般不出现气管移位的是,气胸,肺不张,胸腔积液,腹膜粘连,纵隔肿瘤,,,
A,黄疸伴有右上腹绞痛多见于,胆道结石,胆道蛔虫症,肝脓肿,病毒性肝炎,中毒性肝炎,,,
B,药物引起的头痛一般出现在用药后,10～15分钟,15～30分钟,30～35分钟,35～40分钟,40～45分钟,,,
B,下列常出现血沉明显增快的情况，应除外,结核病,心绞痛,心肌梗死,慢性肾炎,多发性骨髓瘤,,,
C,不属于气分证临床表现的是,舌红苔黄,脉数有力,身热夜甚,大便秘结,发热不恶寒,,,
B,治疗太阳伤寒证的代表方剂是,桂枝汤,麻黄汤,二陈汤,银翘散,桑杏汤,,,
C,亡阳证病人的面色表现是,面白无华,面色淡白,面色苍白,面色青紫,面色青黑,,,
B,下列不属于消法适应证的是,行气,止血,活血,化痰,利水,,,
B,枳实导滞丸的组成药物中不含,黄连、白术,木香、半夏,大黄、泽泻,枳实、黄芩,神曲、茯苓,,,
D,以肝胃虚寒，浊阴上逆证为主治证候的方剂是,乌梅丸,小建中汤,小柴胡汤,吴茱萸汤,大建中汤,,,
E,三仁汤除清利湿热外，还具有的功用是,通阳化气,升清降浊,行气和胃,理气和中,宣畅气机,,,
B,多由气血亏虚，阴寒凝滞所致的是,痈,疽,疔,疖,痰,,,
D,多由外感火热毒邪或湿热内蕴所致的是,痈,疽,疔,疖,痰,,,
D,热盛伤津重症多见,润苔,滑苔,燥苔,糙苔,厚苔,,,
A,风寒表证初起可见,润苔,滑苔,燥苔,糙苔,厚苔,,,
A,脉象表现为浮大中空，如按葱管的是,芤脉,革脉,散脉,牢脉,结脉,,,
C,浮取散漫，中候似无，沉取不应，伴节律不齐的脉象是,芤脉,革脉,散脉,牢脉,结脉,,,
B,心血充足，胃气旺盛可见,淡白舌,淡红舌,红舌,降舌,青紫舌,,,
C,阴液亏虚多见,淡白舌,淡红舌,红舌,降舌,青紫舌,,,
B,应用政治军事压力从事违背伦理原则的实验，称为,临床实验,强迫实验,天然实验,自我实验,志愿实验,,,
C,由于战争可形成大面积的研究样本群的实验，称为,临床实验,强迫实验,天然实验,自我实验,志愿实验,,,
D,连朴饮的组成药物中含有,炒苍术、炒黄柏,石菖蒲、飞滑石,白通草、飞滑石,石菖蒲、制半夏,石菖蒲、益智,,,
C,三仁汤的组成药物中含有,炒苍术、炒黄柏,石菖蒲、飞滑石,白通草、飞滑石,石菖蒲、制半夏,石菖蒲、益智,,,
E,大柴胡汤中配伍大黄的主要意义是,活血祛瘀,和解清热,泻火除湿,缓急止痛,内泻热结,,,
D,大柴胡汤中配伍芍药的主要意义是,活血祛瘀,和解清热,泻火除湿,缓急止痛,内泻热结,,,
A,膝内翻见,直立时两踝并拢而两膝分离,两膝并拢而两踝分离,踝关节呈固定型内收位,踝关节呈固定型外展位,膝部肿大而股胫消瘦,,,
B,膝外翻见,直立时两踝并拢而两膝分离,两膝并拢而两踝分离,踝关节呈固定型内收位,踝关节呈固定型外展位,膝部肿大而股胫消瘦,,,
B,主里热亢盛、阴虚火旺及瘀血的舌质表现是,红舌,绛舌,淡红舌,淡白舌,青紫舌,,,
D,主气血两虚、阳虚的舌质表现是,红舌,绛舌,淡红舌,淡白舌,青紫舌,,,
D,主治下焦蓄血证的方剂是,复元活血汤,血府逐瘀汤,补阳还五汤,桃核承气汤,桂枝茯苓丸,,,
B,主治胸中血瘀证的方剂是,复元活血汤,血府逐瘀汤,补阳还五汤,桃核承气汤,桂枝茯苓丸,,,
B,上述为皮下出血的几种体检所见，请写出紫癜相对应的体征名称,皮下出血直径小于2mm,皮下出血直径3～5mm,皮下出血直径＞5mm,片状出血伴有皮肤显著隆起,片状出血伴有皮下握雪感,,,
C,上述为皮下出血的几种体检所见，请写出瘀斑相对应的体征名称,皮下出血直径小于2mm,皮下出血直径3～5mm,皮下出血直径＞5mm,片状出血伴有皮肤显著隆起,片状出血伴有皮下握雪感,,,
D,脘痞伴见胃脘有振水声者，多见于,脾胃虚弱,痰湿中阻,食滞胃脘,饮邪停胃,肾虚水泛,,,
C,脘痞伴见嗳腐吞酸者，多见于,脾胃虚弱,痰湿中阻,食滞胃脘,饮邪停胃,肾虚水泛,,,
D,鼻为（ ）之外候所在,肝,肺,心,脾,肾,,,
A,左颊候,肝,肺,心,脾,肾,,,
A,手足瘛疭，形瘦神倦，舌绛少苔，脉气虚弱，时时欲脱者，治宜选用,大定风珠,羚角钩藤汤,镇肝息风汤,川芎茶调散,天麻钩藤饮,,,
B,高热不退，烦闷躁扰，手足抽搐，舌绛而干，发为痉厥，脉弦数者，治宜选用,大定风珠,羚角钩藤汤,镇肝息风汤,川芎茶调散,天麻钩藤饮,,,
B,胆石症所见疼痛是,钝痛,绞痛,胀痛,烧灼痛,针刺痛,,,
B,泌尿系结石所见疼痛是,钝痛,绞痛,胀痛,烧灼痛,针刺痛,,,
C,患部初起如粟如米，根脚坚硬较深，麻木或发痒，顶白而痛属于,痈,疽,疔,疖,疡,,,
A,患部红肿高大，根盘紧束，伴有焮热疼痛属于,痈,疽,疔,疖,疡,,,
C,食少便溏，面色萎白，语声低微，四肢乏力，舌质淡，脉虚弱。治疗应首选,归脾汤,炙甘草汤,四君子汤,六味地黄丸,四物汤,,,
A,心悸怔忡，健忘失眠，盗汗，体倦食少，面色萎黄，舌淡，苔薄白，脉细弱。治疗应首选,归脾汤,炙甘草汤,四君子汤,六味地黄丸,四物汤,,,
D,羚角钩藤汤的组成中含有的药物是,钩藤、生龟板,钩藤、川牛膝,钩藤、生龙骨,钩藤、京川贝,钩藤、生牡蛎,,,
B,天麻钩藤饮的组成中含有的药物是,钩藤、生龟板,钩藤、川牛膝,钩藤、生龙骨,钩藤、京川贝,钩藤、生牡蛎,,,
A,患者，女，26岁。月经淋沥不净，色淡质稀，面色萎黄，神疲肢倦，气短懒言，纳呆便溏，舌质淡而胖，苔白。脉沉细无力。应选取,气海、三阴交、足三里、百会、脾俞、胃俞,关元、三阴交、隐白、血海,关元、三阴交、隐白、膻中,三阴交、足三里、肾俞、命门,三阴交、隐白、脾俞、胃俞、公孙,,,
C,患者，女，33岁，腰部疼痛，重着而热，暑湿阴雨天气症状加重，活动后或可减轻，身体困重，小便短赤，苔黄腻，脉濡数。治宜选用,右归丸,白虎汤,四妙丸,甘姜苓术汤,身痛逐瘀汤,,,
E,下列各项，不属痞满病理性质的是,食积,痰湿,外邪,气滞,瘀血,,,
A,疟疾的基本病机是,疟邪伏于少阳，出入营卫，邪正交争,暑湿伏于半表半里，邪正交争,暑湿伏于少阳，出入营卫，邪正交争,湿毒伏于阳明，出入营卫，邪正交争,疟邪伏于阳明，出入营卫，邪正交争,,,
D,患者，女，68岁。突发右侧肢体活动不利，言语不清，口角流涎，伸舌右偏、口角（口呙）斜，血压180/100mmHg，腹胀，便秘3日未行，脉弦，舌暗红苔黄腻。应在主穴的基础上加用,太溪、风池,丰隆、合谷,气海、血海,曲池、内庭、丰隆,太冲、太溪,,,
B,患者王某，胃脘疼痛，胀满拒按，嗳腐吞酸，呕吐不消化食物，其味腐臭，吐后痛减，不思饮食，大便不爽，得矢气及便后稍舒，舌苔厚腻，脉滑。治疗宜选用,失笑散,保和丸,良附丸,柴胡疏肝散,清中汤,,,
C,患者王某，湿热浸淫导致痿证，症见肢体困重肿胀，痿软无力，麻木不仁，尤以双下肢为甚，治宜,参苓白术散,羌活胜湿汤,加味二妙散,五苓散,猪苓汤,,,
A,某患者胃痛暴作，恶寒喜暖，脘腹得温则痛减，口淡不渴，喜热饮，舌苔薄白，脉弦紧。治疗应首选,良附丸,理中汤,藿朴夏苓汤,小建中汤,黄芪建中汤,,,
C,肺痨的治疗原则是,温肾健脾，抗痨杀虫,补益肺脏，抗痨杀虫,补虚培元，抗痨杀虫,补益肺脏，兼顾脾肾,养阴清热，抗痨杀虫,,,
A,下列各项中，不正确的是,阳池属于手太阳小肠经,后溪属于手太阳小肠经,肩髎属于手少阳三焦经,养老属于手太阳小肠经,肩髃属于手阳明大肠经,,,
D,"循行""入下齿中""的经脉是",脾经,肝经,小肠经,大肠经,胃经,,,
D,下列属于行针基本手法的内容是,提捅法，弹针法,震颤法，弹针法,提插法，刮柄法,提插法，捻转法,捻转法，震颤法,,,
D,手太阴肺经的起止穴是,中府、商阳,商阳、迎香,少商、中府,中府、少商,商阳、中府,,,
D,患者，女，35岁。低热3个月，热势常随情绪波动而起伏，烦躁易怒，口干而苦，舌红苔黄，脉弦数。诊断为内伤发热，其证候是,血虚,气虚,痰湿,肝郁,瘀血,,,
E,患者，女，45岁。7月发病，身热，微恶风，汗出，肢体酸重疼痛，头昏胀痛，咳嗽痰黏，鼻流浊涕，胸闷泛呕，心烦口渴，不欲多饮，舌苔薄黄而腻，脉濡数。治宜选用,藿香正气散,银翘散,川芎茶调散,玉枢丹,新加香薷饮,,,
B,腹痛之寒邪内阻证，首选的方剂是,小建中汤,良附丸合正气天香散,大承气汤,正气天香散,枳实导滞丸,,,
E,元气素虚，清阳不升，神明失养出现的气厥虚证，应首选,四君子汤,安宫牛黄丸,通瘀煎,补中益气汤,四味回阳饮,,,
A,下列有关针刺深度的叙述，不正确的是,久病宜浅刺,头面、胸背部的腧穴宜浅刺,年老体弱者宜浅刺,形瘦体弱者宜浅刺,阳证宜浅刺,,,
A,雀啄灸属于,艾条灸,温灸器灸,天灸,温针灸,艾炷灸,,,
B,针灸治疗肝郁气滞而致缺乳，在乳根、膻中、少泽方基础上加,中脘、足三里,太冲、内关,足三里、内关,脾俞、胃俞,外关、足临泣,,,
E,高血压性脑出血，出血部位多为,丘脑,脑桥,小脑,基底节,以上都是,,,
B,患者，女，50岁。近3个月来，多食易饥，形体消瘦，体重减轻3kg，大便干燥，舌苔黄，脉滑有力。其诊断是,消渴上消肺热津伤,消渴中消胃热炽盛,消渴中消气阴亏虚,消渴下消肾阴亏虚,消渴下消阴阳两虚,,,
C,患者，男，36岁。症见喘促短气，言语无力，咳声低弱，自汗畏风，咽喉不利，口干面红，舌质淡红，脉象细弱。当属何种证候,肺阴亏虚之喘证,肺脾气虚之喘证,肺气阴两虚之喘证,肺肾阴亏之喘证,脾肾两虚之喘证,,,
B,患者，女，32岁。午后及夜间潮热，手足心热，骨蒸颧红，心烦盗汗，失眠多梦，口干咽燥，大便干结，尿少色黄，舌红而干，或有裂纹，无苔或少苔，脉象细数。治疗应取何法,益气生血，甘温除热,滋阴清热,益气养阴,养血解表,温阳补肾,,,
D,患者恶寒较甚，发热，无汗，身楚倦怠，咳嗽，咳痰无力，舌淡苔薄白，脉浮无力。治法是,辛温解表,辛凉解表,祛湿解表,益气解表,以上均非,,,
D,患者头部空痛8年，头痛隐隐，遇劳发作，兼头晕，神疲乏力，面色不华，舌淡，脉细弱。针灸治疗宜配用,血海、膈俞,后溪、昆仑,太溪、太冲,脾俞、足三里,中脘、丰隆,,,
D,呃逆胃阴不足证的病机概要是,肝气郁滞，横逆犯胃，胃气上逆,热积胃肠，腑气不畅，胃火上冲,寒蓄中焦，气机不利，胃气上逆,阴液不足，胃失濡养，气失和降,中阳不足，胃失和降，虚气上逆,,,
D,属于心悸病因的是,先天遗传,久病入络,跌仆损伤,七情所伤,以上均非,,,
B,肺痨的基本病机是,虚体虫侵，血虚不足,虚体虫侵，阴虚火旺,虚体虫侵，瘀血内停,虚体虫侵，阳气虚衰,虚体虫侵。气虚不足,,,
D,下列各项，不属于痢疾主症的是,腹痛,里急后重,痢下赤白黏冻,呕吐,大便次数增多,,,
C,气病可取八会穴中的哪穴,章门,悬钟,膻中,中脘,太渊,,,
A,治疗外感风热面痛，除主穴外应加用,曲池、外关,太冲、三阴交,血海、膈俞,太溪、肾俞,列缺、风门,,,
E,"下列何经循行""绕肩胛""",手少阳三焦经,足少阳胆经,手阳明大肠经,足太阳膀胱经,手太阳小肠经,,,
B,下列哪项不属于脑脊液检查的禁忌证,颅内压明显增高或伴显著视乳头水肿者,疑有中枢神经系统恶性肿瘤,处于休克、衰竭或濒危状态者,局部皮肤有炎症者,颅后窝有占位性病变者,,,
D,可引起网织红细胞增多的贫血为,再生障碍性贫血,骨髓病性贫血,急性白血病,缺铁性贫血,脾功能亢进,,,
A,患者，男，55岁。既往有胃病二十余年，每次均因饮食不慎，出现呕吐，时作时止，倦怠乏力，口干不欲饮，四肢不温，大便溏薄，舌质淡，脉濡弱。最佳治疗方剂为,理中汤,香砂六君子汤,麦门冬汤,补气运脾汤,藿香正气散,,,
E,患者，女，28岁。近来时常鼻衄，或兼齿衄。血色鲜红，牙龈红肿疼痛，口臭便秘。鼻干口干，舌红苔黄，脉洪数。其治法是,清泻肺热，凉血止血,清肝泻火，凉血止血,滋阴降火，凉血止血,清热润肺，宁络止血,清胃泻火，凉血止血,,,
D,王某，男性，55岁。反复呕吐1月，呕吐清水痰涎，脘闷不食，头眩心悸，舌苔白腻，脉滑。治法宜选用,疏肝理气，和胃降逆,健脾益气，和胃降逆,温中健脾，和胃降逆,温中化饮，和胃降逆,滋养胃阴，降逆止呕,,,
C,患者，女，48岁。胃脘隐隐灼痛，似饥而不欲食，口燥咽干，五心烦热，消瘦乏力，口渴引饮，大便干结，舌红少津，脉细数。治疗选用,失笑散合丹参饮,黄芪建中汤,一贯煎合芍药甘草汤,香苏散合良附丸,沙参麦冬汤,,,
D,患者头痛而晕，心悸不宁，神疲乏力，面色无华，舌淡苔薄白，脉细弱。治疗应首选,大定风珠,大补元煎,半夏白术天麻汤,加味四物汤,六君子汤,,,
A,患者，男性，32岁。2天前因食不洁水果，出现腹痛腹泻，下痢赤白，里急后重，肛门灼热，心烦口渴，小便短赤，舌苔黄腻，脉滑数。治疗除取主穴外，还应加,曲池、内庭,脾俞、肾俞,中脘、气海,中脘、内关,行间、足三里,,,
B,患者，男性，31岁。口角歪向右侧，左眼不能闭合2天，左侧额纹消失，治疗应选取何经穴为主,手、足厥阴经,手、足阳明经,手、足少阳经,手、足太阴经,手、足太阳经,,,
C,下列各项，不属于噎膈变证的是,积聚,水肿,黄疸,关格,虚劳,,,
B,与噎膈发病相关的主要脏腑是,胃、脾、肺、肝,胃、脾、肝、肾,脾、胃、肾、胆,脾、肝、胆、肾,脾、肾、肝、肺,,,
A,甘温除热治法的代表方剂是,补中益气汤,人参养荣汤,大建中汤,小建中汤,黄芪建中汤,,,
A,积聚病证是指结块出现在,腹腔内,腹壁上,身体任何部位,颈部,胸腔内,,,
A,最新国家标准规定的经穴数是,362个,365个,354个,359个,361个,,,
E,位于腕背横纹桡侧，当拇短伸肌腱与拇长伸肌腱之间的凹陷中的穴位是,神门,阳池,大陵,太渊,阳溪,,,
B,针灸下面哪组穴位来治疗痢疾,大肠俞、天枢、小肠俞、上巨虚、下巨虚,天枢、上巨虚、合谷、三阴交,足三里、上巨虚、中脘、大肠俞、胃俞,神阙、百会、气海、关元,天枢、上巨虚、下巨虚、大肠俞,,,
B,三棱针的常用操作方法，不包括,散刺法,透刺法,刺络法,挑刺法,点刺法,,,
B,下列哪项不是关元穴的主治病证,中风脱证、虚劳冷惫,癫狂痫、失眠,少腹疼痛、疝气,遗精、阳痿、早泄,月经不调、痛经,,,
A,生化汤除养血祛瘀外，还具有的功用为,温经止痛,祛风散寒,祛湿除痹,疏肝理气,行气宽中,,,
B,FBG＞9.0mmol/L时为,高糖血症,尿糖阳性,血糖减低,低糖血症,空腹血糖过高,,,
A,患者，男，40岁。肢体关节酸痛，游走不定，屈伸不利，恶风发热，舌苔薄白，脉浮。治疗应首选,防风汤,乌头汤,双合汤,白虎加桂枝汤,薏苡仁汤,,,
D,患者，男，72岁。有健忘病史多年。如今计算力、定向力明显减退，神情呆钝，词不达意，头晕耳鸣，腰酸骨软，舌瘦色淡，苔薄白，脉沉细弱。治疗应首选,还少丹,补阳还五汤,人参养荣汤,七福饮,转呆汤,,,
C,胸痹的主症是,胸胁胀痛，持续不解，多伴有咳唾,心下有气攻冲作痛,胸部闷痛甚则胸痛彻背,自觉心中悸动不安，心搏异常,咳嗽，胸痛，脓血痰,,,
D,胸痹的辨证要点，应首辨,脉象变化,外感内伤,标本虚实,病情轻重,寒热虚实,,,
D,下列各项中，不是虚劳病因的是,饮食不节,大病久病,禀赋薄弱,情志失调,烦劳过度,,,
A,下列各项，不属关格诱因的是,经常憋尿,劳欲过度,外感风寒,饮食不节,情志不畅,,,
E,下列各项，不属水肿病理因素的是,疮毒,瘀血,风邪,水湿,痰浊,,,
C,鼓胀的基本病机是,肺、脾、肾受损，水、瘀、饮停腹中,脾、肾受损，瘀、水停腹中,肝、脾、肾受损，气、瘀、水停腹中,肝、脾、肾受损，痰、瘀、水停腹中,肝、脾受损，气、瘀、水停腹中,,,
D,胁痛的基本病机是,脾胃不和,胃气不降,肝气犯胃,肝络失和,胆经湿热,,,
C,患者，男，42岁。身发疮痍，甚者溃烂已半年，久治不效。近1周眼睑突然水肿，延及全身，伴见恶风发热，小便不利，舌质红，苔薄黄，脉浮数。治疗宜选,麻黄连翘赤小豆汤,越婢加术汤,麻黄连翘赤小豆汤合五味消毒饮,五苓散合五味消毒饮,防己黄芪汤合麻黄连翘赤小豆汤,,,
B,患者，男，49岁。失眠日久，兼头晕耳鸣，腰膝酸软，五心烦热，遗精盗汗，舌质红，脉细数。针灸治疗除取主穴外，应配取,心俞、脾俞、厥阴俞,心俞、肾俞、太溪,心俞、胆俞、丘墟,心俞、肝俞、太冲,心俞、胃俞、足三里,,,
D,王某，男性，75岁。反复咳喘30年多。现症：咳吐涎沫，其质清稀量多，不渴，短气不足以息，头眩，神疲乏力，食少，形寒，小便数，舌质淡，脉虚弱。其治疗应首选,七味都气丸,麦门冬汤,麻黄升麻汤,生姜甘草汤,清燥救肺汤,,,
C,患者，男性，27岁。3日来头痛如裹，痛无休止，肢体困重，苔白腻，脉濡。针灸治疗除列缺、百会、太阳、风池外，宜取,曲池,丰隆,阴陵泉,足临泣,风门,,,
D,呃逆气机郁滞证的治法是,温中散寒，降逆止呃,清胃泄热，降逆止呃,温补脾胃，降逆止呃,顺气解郁，和胃降逆,养胃生津，降逆止呃,,,
B,下列各项，不属淋证病因的是,禀赋不足,瘀浊内停,外感湿热,饮食不节,情志内伤,,,
C,肾虚型喘证不宜选用,金匮肾气丸,参蛤散,定喘汤,七味都气丸,生脉散,,,
A,中脘配胃俞治疗胃痛，应属于,前后配穴,左右配穴,表里经配穴,同名经配穴,上下配穴,,,
D,有关扭伤的针灸辨证论治，叙述不正确的是,以受伤局部腧穴为主,可配合循经远取,可在扭伤部位上下循经邻近取穴,陈旧性损伤不宜用灸法,扭伤多为关节伤筋，属经筋病,,,
A,善于治疗体重节痛的是,输穴,合穴,背俞穴,五输穴,下合穴,,,
D,胃火牙痛，除取主穴外，还应加,太溪、行间,太溪、外关,太冲、曲池,内庭、二间,外关、风池,,,
C,若辨证为痛痹，应配用,合谷、曲池,阴陵泉、足三里,肾俞、关元,气海、神阙,肝俞、太冲,,,
A,大肠的下合穴是,上巨虚,下巨虚,合谷,曲池,天枢,,,
D,患者呕吐清水痰涎，脘闷不食，头晕心悸，舌苔白腻，脉滑。治疗宜选用,保和丸,四七汤,香砂六君子汤,小半夏汤合苓桂术甘汤,以上均非,,,
A,患者，男性，41岁。呼吸气促，喉中哮鸣有声，胸闷如窒，口不渴，形寒怕冷，面色晦暗，舌苔白滑，脉弦紧。治疗应首选,射干麻黄汤,平喘固本汤,二陈汤,麻黄汤,定喘汤,,,
C,与中风密切相关的脏腑是,心、肺、肝、肾,心、肺、脾、肾,心、肝、脾、肾,心、肺、肝、脾,肺、脾、肾、肝,,,
A,治疗阴黄寒湿阻遏证的治法是,温中化湿，健脾和胃,清热解毒，凉血开窍,健脾养血，利湿退黄,利湿化浊，运脾和胃,以上均非,,,
A,下列除哪项外，均是气机郁滞呃逆的主症,得热则减，遇寒愈甚,舌苔薄，脉弦,呃逆连声，胸胁胀闷,常因情志不畅而诱发或加重,嗳气纳减，肠鸣矢气,,,
E,治疗狂证火盛伤阴者，应首选,温胆汤,养心汤,二至丸,六磨汤,二阴煎合琥珀养心丹,,,
E,肺胀晚期，病变为主的脏是,脾、肾、心,肺、肝、肾,肺、脾、肾,肺、脾、心,肺、肾、心,,,
E,治疗气虚感冒，应首选,加减葳蕤汤,杏苏散,玉屏风散,再造散,参苏饮,,,
