标准答案,题干,选项A,选项B,选项C,选项D,选项E
A,宣气化湿法的代表方是,三仁汤,王氏连朴饮,杏仁滑石汤,茯苓皮汤,温胆汤
B,发汗不解，腹满痛者，治疗宜用,栀子厚朴汤,大承气汤,大陷胸汤,小承气汤,调胃承气汤
B,下列发热的病因，不属于感染性发热的是,伤寒,中暑,肺脓肿,血吸虫病,流行性脑脊髓膜炎
D,询问家族史的意义是,分析病因,辨别病情,确定病位,排除遗传病,推断预后
C,心理过程包括,感觉、知觉、记忆、思维,个性倾向性、个性心理特征,认知过程、情感过程、意志过程,自我认识、自我体验、自我调控,需要、动机、能力、气质与人格
D,小活络丹的功用是,通经活络，消肿止痛,扶正祛风，活血止痛,祛风止痛，通经活络,祛风除湿，化痰通络，活血止痛,通行经络，活血止痛
A,咳嗽痰少，口干咽燥，声音嘶哑，形体消瘦，午后潮热，腰膝酸软，舌红少苔，脉细数，其证候是,肺肾阴虚证,肺肾气虚证,肾阴虚证,燥邪犯肺证,肺阴虚证
C,少阴热化证的心烦不寐的病机是,邪热内盛,肝阳上扰,水亏火旺,上热下寒,热结胃肠
D,神经性皮炎，皮疹色红，心烦易怒，心悸失眠，口苦咽干，舌边尖红，舌苔薄白，脉弦滑，辨证为：,湿热下注,血虚风燥,风湿蕴阻,肝郁化火,淤血阻络
E,动脉粥样硬化独立的危险因素是,总胆固醇增高,甘油三酯增高,高密度脂蛋白增高,低密度脂蛋白增高,脂蛋白a增高
D,香薷散的主治是,暑热气阴两虚,暑湿偏于热,暑湿偏于湿,阴暑,以上均不对
A,“本太阳病，医反下之，因尔腹满时痛者”，其“腹满时痛”是病属,太阴,阳明,少阴,厥阴,少阳
B,患儿，男，6岁，喜好与猫玩耍，近1月来，头顶部出现约硬币大小白色鳞屑斑，境界清楚，病灶处头发距头皮2～5mm处折断。若作真菌检查，滤过紫外线灯下可见：,暗绿色荧光,亮绿色荧光,浅绿色荧光,绿色荧光,亮黄色荧光
D,苏合香丸的主治病证是,痰热扰心证,痰蒙心包证,热陷心包证,寒闭证,心火亢盛证
B,据《素问·热论》，巨阳为诸阳主气，是因其脉连于,风池,风府,百会,大椎,阳维
C,地榆具有的功效是,清肝泻火,散瘀消痈,解毒敛疮,化痰止咳,清热利尿
D,奇痒难忍，夜间尤甚，或可相互传染的是,湿痒,风痒,热痒,虫痒,血虚痒
E,足三阴经的走向规律是,从足走头,从头走足,从胸走手,从手走头,从足走腹
E,与呼吸运动关系最密切的是,心、肺,心、肝,肺、脾,肺、肝,肺、肾
A,透邪解郁，疏肝理脾的方剂是,四逆散,大柴胡汤,痛泻要方,蒿芩清胆汤,半夏泻心汤
E,以下属于卫生法中规定须承担刑事责任的情形为,非法采集、供应血液,违反国境卫生检疫,非法行医情节严重,违反规定造成病菌种、毒种扩散,以上都是
D,下列不属于阴道清洁度检查的是,杆菌,球菌,上皮细胞,红细胞,白细胞
B,《传染病防治法》明确规定的传染病防治方针是,防治结合,预防为主,依靠科学,分类管理,控制为主
C,可引起嗜酸性粒细胞增多的疾病是,库欣综合征,化脓性感染,寄生虫病,肺结核,伤寒
C,下列关于瘢痕的描述中，哪项不正确：,为新生结缔组织及新生表皮,表面光滑,汗腺、皮脂腺减少或消失，毛发正常,可分为肥厚性及萎缩性两类,病机为局部气血凝滞
B,心电图上U波明显增高提示的是,高血钾,低血钾,高血钙,低血钙,低血镁
E,下列病理情况出现负性心尖搏动的是,慢性阻塞性肺气肿,右心室肥大,左心室肥大,大量心包积液,粘连性心包炎
D,可出现抽搐伴意识丧失的疾病是,破伤风,狂犬病,低钙抽搐,癫痫大发作,癔症性抽搐
C,桂枝去芍药汤，去芍药的理由是,因阴液未伤,因无腹痛,芍药阴柔，有碍宣通阳气,更利于解表,无需调和营卫
A,突发公共卫生事件应急工作应遵循的方针是,预防为主、常备不懈,统一领导、分级负责,反应及时、措施果断,统一领导、加强合作,依靠科学、分工负责
C,中医学认为，决定临床病证虚实变化的是,气血津液的盛衰变化,气机升降出入的失常,正气与邪气的盛衰变化,阴精与阳气的偏盛偏衰,脏腑功能活动的盛衰变化
C,下列属于成熟防御机制的是,压抑,转移,幽默,压抑,否认
C,伤寒的隔离种类是,严密隔离,呼吸道隔离,消化道隔离,接触隔离,昆虫隔离
D,茵陈蒿汤主治病证的病机是,湿热外感,湿热流注,寒湿困脾,湿热郁蒸,湿浊内阻
D,槐花长于治疗,肺胃出血,头面出血,上焦出血,下焦出血,崩漏下血
D,当房角为窄Ⅲ时：,加压后能看到睫状体带,不加压能看到睫状体带,能看到巩膜突,能看到前部小梁,只能看到前界线
A,"《素问·至真要大论》认为，""诸胀腹大""者，病属于",热,火,寒,脾,肾
A,伤寒传播途径是,粪-口传播,直接传播,间接传播,消化道,水源污染
A,舌色淡紫而湿润属于,阳虚血瘀证,风热犯肺,气营两燔,寒凝血瘀,肾阴虚火旺
A,妊娠后期出现的失音是,子喑,喉痹,喉风,喉癣,喉菌
B,颈肿眼突，可诊断为,肺胀,瘿瘤,瘰疬,痄腮,发颐
C,流行性出血热发热期慎用的治疗方法是,抗病毒,免疫治疗,发汗退热,对症治疗,预防DIC
D,用于肝气郁滞或肝胃不和所致的胁肋作痛兼见热象者，最宜选用的药物是,香附,延胡索,沉香,川楝子,木香
C,以人本主义理论为基础的疗法是,自由联想疗法,森田疗法,询者中心疗法,系统脱敏疗法,支持疗法
D,紫花地丁善于治疗的病证是,乳痈,肠痈,肺痈,疔毒,大头瘟毒
C,口苦，咽干，寒热往来，胸胁苦满，脉弦，其证候是,太阳经证,太阳腑证,少阳病证,阳明经证,阳明腑证
B,各种过敏性疾病出现的是,IgG降低,IgE增高,IgD降低,IgG升高,IgE降低
A,具有行气止痛、杀虫疗癣功效的药物是,川楝子,丁香,佛手,沉香,香附
D,下列选项属病变虚实变化内涵的是,邪气亢盛与否,正气旺盛与否,脏腑功能的盛衰,正邪力量的盛衰,气血旺盛与否
A,《素问·阴阳应象大论》云，治病必求于本，本是指,阴阳,天地,气血,父母,寒热
C,"""勿以善小而不为，勿以恶小而为之""，强调医德修养要坚持的一个重要方法是",典型示范,正面疏导,慎独,动机与效果相统一,理论与实践相结合
A,患者右眼疼痛拒按，羞明流泪，白睛局部结节隆起，色红紫暗，伴口苦咽干，便秘溲赤，舌红，苔黄，脉数。其证候是,火毒蕴结证,肺热亢盛证,肝胆火炽证,热积腑实证,风热上攻证
A,下列方剂中，柴胡用量宜小的是,补中益气汤,小柴胡汤,逍遥散,四逆散,以上均不是
C,平原地区成年男性血红蛋白正常参考值是,100～140g／L,140～170g／L,120～160g／L,110～150g／L,170～200g／L
B,具有凉血止血、清肝泻火功效的药物是,金银花,槐花,连翘,生地黄,旋覆花
C,"称""筋之余""的是",齿,筋,爪,发,皮
B,里虚寒证出现畏寒肢冷的病机是,寒邪束表，卫气失宣,阳虚机体失于温煦,阴寒内盛，阳气被郁,气滞血瘀，阳气不达肌肤,肝郁，阳气不宣
B,丁香柿蒂汤的功用是,降逆止呃，益气清热,温中益气，降逆止呃,降气化痰，益气和胃,降气平喘，祛痰止咳,行气散结，降逆化痰
D,尿液呈乳糜样的疾病是,急性肾小球肾炎,急性肝炎,急性溶血,丝虫病,肾盂肾炎
D,缺铁性贫血患者，经铁剂治疗1周后，首先出现的治疗反应是,红细胞增高,血清铁增高,血细胞比容增高,网织红细胞增高,红细胞平均容积恢复正常
A,a波和b波均下降最常见的眼病是：,视网膜色素变性,视网膜中央动脉阻塞,糖尿病视网膜病变,视网膜血管畸形,脉络膜色素细胞瘤
E,气滞气逆常引起：,瞳神紧小,云雾移睛,白涩症,胞睑下垂,胞生痰核
D,患者，女性，双眼干涩不爽两年余，伴视物疲劳，咽干便秘，偶有烦热；检查所见：白睛如常，黑睛见少量细小染色。根据症状及检查，应诊断为：,金疳,火疳,时复症,白涩症,疳积上目
D,活血止痛，消肿生肌的最佳配伍是,川芎、白芷,苏木、自然铜,五灵脂、蒲黄,乳香、没药,延胡索、降香
E,角膜在组织学上分为5层，哪层损伤后修复迅速：,前弹力层,后弹力层,实质层,内皮细胞层,上皮细胞层
A,蛔虫腹痛，宜用,花椒,丁香,干姜,吴茱萸,小茴香
A,患者，男，25岁，须发早白，小便带血热痛，口臭，舌红，苔薄黄，脉滑数。针对尿血、口臭，宜首选的药物是,白茅根,槐花,侧柏叶,芦根,大蓟
C,患者右眼珠高突，转动受限，胞睑红肿，白睛红赤壅肿，头眼剧痛，壮热神昏，便秘溲赤，舌红苔黄，脉数有力。其证候是,风热毒攻证,肝胆火炽证,火毒壅滞证,肺火炽盛证,阴虚火炎证
A,吐舌的特征为,舌伸出口外，不能立即回缩,舌体动摇不宁,伸舌即回缩,反复舐口唇四周，动摇不宁,舌体不自主颤动
C,处于恢复期时最理想的医患关系模式是,主动－被动型,指导－合作型,共同参与型,患者至上型,互惠型
A,符合慢性粒细胞性白血病的是,骨髓增生极度活跃,骨髓增生明显活跃,骨髓增生活跃,骨髓增生减低,骨髓增生极度减低
D,妇女妊娠脉象的特点是,沉紧,虚细,洪数,滑数,弦涩
A,邪热亢盛时脉象多为,脉数有力,脉数无力,脉浮大虚数,脉滑数,脉细数
D,关于肝的描述不正确的是,喜条达恶抑郁,体阴用阳,罢极之本,主统血,主升主动
D,临床上对酒精依赖患者的心理治疗，应首先采用的疗法是,认知疗法,系统脱敏法,自由联想法,厌恶疗法,询者中心疗法
B,发现尿路阳性结石的最常用方法是,膀胱镜,腹部平片,逆行尿路造影,腹部CT检查,静脉肾盂造影
D,下列可出现酱油色尿的是,血友病,膀胱炎,肾盂肾炎,蚕豆病,缺铁性贫血
A,脉浮，小便不利，微热消渴，治宜选用,五苓散,栝蒌瞿麦丸,猪苓汤,白虎加人参汤,文蛤散
E,下列导致病理性语颤增强的是,阻塞性肺不张,大量胸腔积液,支气管哮喘发作,胸膜增厚粘连,肺实变
B,肾气衰，发堕齿槁,四八,五八,六八,七八,八八
B,患者头眼剧痛，视力急剧下降，恶心呕吐。下面哪种检查能支持突起睛高的诊断：,睛球的突出度测量,全血计数,血清甲状腺素,眼压的测量,眼眶的X片
B,下列疾病，表现为转移性右下腹痛的是,肠炎,阑尾炎,胃炎,胆囊炎,胰腺炎
D,秦艽具有的功效是,止痹痛，治骨鲠,通经络，利水,止痹痛，解表,通络止痛，退虚热，清湿热,止痹痛，安胎
A,苏合香丸的组成药物中含有,香附,藿香,佩兰,砂仁,良姜
A,下面为电光性眼炎的临床特点；除了：,视力剧降,眼痛难忍,热泪如汤,白睛红赤,黑睛星翳
B,紫花地丁善治,湿毒,疔毒,梅毒,大头瘟毒,毒蛇咬伤
B,伤寒杆菌的主要致病因素为,肠毒素,内毒素,侵袭力,H抗原,神经毒素
B,胃肠道穿孔的X线表现是,小肠扩张，大量积气积液,膈下可见新月形透亮气体影,胃内积气,结肠内可见气体,腹部均致密，腰大肌清晰
B,阳明病的主脉是,浮脉,大脉,洪大脉,浮滑脉,沉脉
C,治疗邪热壅肺之咳喘、气急，应选用的药组是,半夏、天南星,陈皮、半夏,麻黄、石膏,白芥子、莱菔子,杏仁、白果
E,青风内障的视觉特点是,视力昏花，云雾飘浮,视力骤降，视物遮挡,视力渐降，入暮模糊,视物变形，视一为二,视力渐降，视野渐窄
A,藿香、佩兰的共同功效是,化湿，解暑,燥湿，解表,行气，解表,燥湿，止呕,化湿行气，温中
A,针眼一名始见于：,《证治准绳·七窍门》,《银海精微》,《诸病源候论》,《秘传眼科龙木论》,《龙树菩萨眼论》
A,治疗下焦湿热之尿频淋漓，宜选用的方剂是,八正散,三仁汤,小蓟饮子,真武汤,萆薢分清饮
A,患者上胞下垂，晨起病轻，午后加重，并伴周身乏力，吞咽困难。本病的辨证为：,脾虚失运，中气不足,命门火衰，脾阳不足,肝虚血少，风邪客于胞睑,脾胃损伤，复感风邪,脉络阻滞，气血运行不畅
B,治疗脾肾阳虚，五更泄泻，最宜与补骨脂配伍冉药物是,黄连,肉豆蔻,槟榔,莲子,赤石脂
A,用于阴虚火旺，迫血妄行之崩漏的最佳方剂是,固经丸,固冲汤,生化汤,黄土汤,温经汤
D,天行赤眼的病因病机是,肺经蕴热，风热外袭,肺卫不固，风邪外侵,脾失健运，湿痰内聚,肺胃积热，外感疠气,脾胃气虚，余热未清
C,太阴病的主要临床表现是,食纳减少,胸下结硬,腹满而吐,时腹自痛,自利不渴
A,下列关于少阴病提纲脉证机理的描述最确切的是,心肾阳虚，阴血不足，神失所养,邪入少阴，心肾虚衰，水火失济,心肾阳虚，阴寒内盛，水气不化,心肾阳虚，阴寒内盛，阳不外达,心肾阳虚，阴寒内盛，浊阴上蒙
A,医生的权利是,具有独立做出诊断和治疗的权利以及特殊干涉权,对病人义务和对社会义务的统一,特殊干涉权,保持和恢复健康，积极配合医疗，支持医学科学研究,支持医学科学研究
C,面色苍白，泛红如妆者，属,湿热证,实热证,戴阳证,阳虚证,阳气暴脱证
A,不属于太阴脏虚寒证的症状是,胸下结硬,腹满,呕吐、食不下,自利不渴,时腹自痛
E,青皮与陈皮的功效区别是,陈皮理脾胃之气，消积化滞；青皮理肝气，散寒止痛,陈皮理脾胃之气，燥湿化痰；青皮理肝气，活血止痛,陈皮理脾胃之气，降气化痰；青皮理肝气，消积化滞,陈皮理脾胃之气，降气化痰；青皮理肝气，活血调经,陈皮理脾胃之气，燥湿化痰；青皮理肝气，消积化滞
E,患者暴怒后起病，右眼视力急降，外观端好，视乳头充血、水肿，边界不清，视网膜动脉细，静脉高度迂曲怒张，部分呈腊肠状，视网膜大量火焰状出血，色鲜红，黄斑区被出血遮盖，伴有眼胀头痛，胸胁胀痛，情志不舒，烦躁失眠，舌红有瘀斑，苔薄白，脉涩。其治法是,滋阴潜阳，平肝熄风,养心健脾，益气摄血,补益肝肾，和血明目,清热除湿，化瘀通络,理气解郁，化瘀止血
C,患者，女，45岁，胸闷，甚至胸痛彻背，喘息咳唾，短气，舌苔白腻，脉沉弦，宜首选,瓜蒌配木香,瓜蒌配生姜,瓜蒌配薤白,瓜蒌配竹茹,瓜蒌配天南星
A,下列有关慢性肝炎中医治疗的叙述，不恰当的是,肝胆湿热证，主方用芍药汤,脾肾阳虚证，主方用金匮肾气丸,肝肾阴虚证，主方用滋水清肝饮,肝郁脾虚证，主方用逍遥散,瘀血阻络证，主方用血府逐瘀汤
A,对患者知情同意权的做法中，错误的是,无家属承诺，即使患者本人知情同意也不能给予手术治疗,对某些特殊急诊抢救视为例外,婴幼儿可以由监护人决定,做到充分知情,做到有效同意
A,斑秃属于,血虚受风,气血两虚,血虚化燥,肾虚,阴虚
E,时复症睑结膜型有以下特征，除了：,上睑结膜充血污浊,上睑结膜组织模糊欠清,上睑见肥大乳头,病变仅限于上睑结膜,病变往往侵犯穹隆部结膜
D,患者大出血时会导致全身无力的基本病机是,气能摄血,血能载气,气不摄血,气随血脱,气虚血瘀
D,黄土汤的组成药物中含有,熟地黄、人参、干姜、附子,生地黄、当归、炮姜、附子,熟附子、干姜、黄芪、人参,干地黄、阿胶、附子、黄芩,熟地黄、芍药、附子、干姜
B,肺在体是,脉,皮,肌肉,骨,筋
B,虎杖的功效是,活血调经，清热利湿，解毒消疮，化痰平喘,利湿退黄，清热解毒，散瘀止痛，化痰止咳,活血定痛，清热利湿，解毒通便，化痰止咳,活血通络，祛湿退黄，清热解毒，利尿通便,活血消瘢，利湿退肿，解毒疗疮，化痰通便
B,脾虚湿困型云雾移睛首选方剂是：,三仁汤,六君子汤,宁血汤,血府逐瘀汤,明目地黄丸
E,患者，男，28岁。发热4天，经用解表药发汗，热不退反增，伴头汗出，面色潮红，腹胀满，按之不适，大便干硬，日一行。舌红，苔黄厚，脉沉弦。临床最佳辨证当是,大承气汤证,大陷胸汤证,白虎汤证,大黄黄连泻心汤证,调胃承气汤证
C,功能化湿行气，温中止呕的药物是,藿香,佩兰,豆蔻,厚朴,苍术
E,患者胸胁灼痛，急躁易怒，咳嗽阵作，有时痰中带血，面色红赤，舌红苔黄，脉细数，辨证为,痰热壅肺证,肝火上炎证,肺热炽盛证,肝胃不和证,肝火犯肺证
E,白术的主治病证是,治疗妊娠恶阻，胎动不安,治疗妊娠胎漏下血，胎动欲坠,治疗妊娠胎热，胎动不安,治疗妊娠肝肾亏虚，胎动不安,治疗妊娠脾虚气弱，胎动不安
A,患者暴怒后起病，右眼视力急降，外观端好，视乳头充血、水肿，边界不清，视网膜动脉细，静脉高度迂曲怒张，部分呈腊肠状，视网膜大量火焰状出血，色鲜红，黄斑区被出血遮盖，伴有眼胀头痛，胸胁胀痛，情志不舒，烦躁失眠，舌红有瘀斑，苔薄白，脉涩。其证候是,气滞血瘀证,阴虚阳亢证,心脾两虚证,肝肾不足证,痰瘀互结证
E,下列各项中属于“反佐”范畴的是,热因热用,壮水制火,以泻代清,火郁发之,寒药热服
D,下列哪项症状不属苓桂术甘汤所治,目眩,短气,胸胁支满,脐下有悸,小便不利
B,在HBV标记物中，对人体有保护作用的是,HBsAg,抗-HBs,HBeAg,抗-HBe,抗-HBc
C,桔梗具有的功效是,润肺，止咳，下气，化痰,宣肺，利咽，清肺，化痰,宣肺，利咽，祛痰，排脓,降气，止咳，祛痰，排脓,降气，止呕，祛痰，排脓
C,"体现""甘温除热""法的方剂是",参苓白术散,生脉散,补中益气汤,四君子汤,六君子汤
B,既可涩肠止泻又可温中行气的药物是,五味子,肉豆蔻,五倍子,赤石脂,诃子
B,上侧的正常白色视野为：,50°,55°,60°,70°,90°
A,冠心病患者中有一种特征性的行为模式被称为,A型行为类型,B型行为类型,C型行为类型,D型行为类型,E型行为类型
C,身热，心烦躁扰不寐，口燥咽干，舌红苔黄，脉细数。治宜,竹叶石膏汤,青蒿鳖甲汤,黄连阿胶汤,加减复脉汤,三甲复脉汤
A,"依据原文：""伤寒二三日，心中悸而烦者""，所用的方药是",小建中汤,炙甘草汤,桂枝人参汤,桂枝甘草汤,茯苓桂枝甘草大枣汤
B,对诊断肝火犯肺证最有意义的症状是,咳嗽阵作，痰黄稠黏,胸胁灼痛，咳痰黄稠,头胀头晕，面红目赤,急躁易怒，口苦口干,舌红苔黄，脉象滑数
E,桂枝汤中配伍炙甘草的主要用意是,益气补虚,扶正祛邪,缓峻护正,化痰止咳,调和诸药
C,消风散的组成药物中含有,薄荷,细辛,胡麻,秦艽,桑叶
C,龙胆泻肝汤的臣药是,大黄、黄连,黄芩、黄连,黄芩、栀子,黄连、栀子,黄连、黄柏
A,竹叶石膏汤的药物组成为,竹叶、石膏、半夏、麦门冬、人参、甘草、粳米,竹叶、石膏、知母、麦门冬、人参、粳米、甘草,竹叶、石膏、知母、半夏、麦门冬、人参、粳米,竹叶、石膏、半夏、麦门冬、白术、甘草、粳米,竹叶、石膏、半夏、天门冬、人参、甘草、粳米
D,春温病名首见于,《内经》,《难经》,《千金方》,《伤寒补亡论》,《温病条辨》
E,根据血尿出血部位不同临床上血尿分为,功能性血尿,器质性血尿,肉眼血尿，镜下血尿,原发性血尿，继发性血尿,肾小球性及非肾小球性血尿
C,不在行经期间，阴道大量出血，或持续下血，淋漓不止者称为,经期错乱,月经衍期,崩漏,月经过少,月经过多
B,湿热交蒸，内阻中焦，首选方剂是,三仁汤,王氏连朴饮,雷氏芳香化浊法,白虎加苍术汤,甘露消毒饮
D,血痹阴阳俱微，寸口关上微，尺中小紧，外证身体不仁，如风痹状，治疗所用的方剂是,风引汤,头风摩散,乌头汤,黄芪桂枝五物汤,桂枝加黄芪汤
E,泌尿系检查临床上最常用的检查方法是,膀胱镜,腹部平片,逆行尿路造影,腹部CT检查,静脉肾盂造影
E,酒食伤脾，眩晕呕吐，胸膈痞闷，食少体倦，小便不利，大便泄泻，苔腻脉滑者。治宜选用,健脾丸,保和丸,枳实消痞丸,真人养脏汤,葛花解酲汤
D,治疗耳胀耳闭，一般不采用的外治法是,滴鼻,鼓膜按摩,咽鼓管吹张,滴耳,鼓膜穿刺
A,具有主决断功能的腑是,胆,胃,小肠,大肠,膀胱
B,下列检查项目不属于一般检查内容的是,面容表情,神经反射,意识状态,生命体征,皮肤黏膜
A,正常人12小时夜尿量是,小于750mL,小于600mL,小于700mL,小于550mL,小于720mL
A,辨别声源方向，协同集声作用的是(　　)。,外耳的生理,中耳的生理,中枢听觉通路生理,耳蜗的生理,前庭的生理
B,犀角地黄汤的功用是,活血祛瘀，行气止痛,清热解毒，凉血散瘀,清肝宁肺，凉血止血,利血通肺，凉血止血,清营解毒，透热养阴
A,具有息风镇痉、攻毒散结、通络止痛功效的药物是,全蝎、蜈蚣,地龙、僵蚕,龙骨、牡蛎,石决明、决明子,天麻、钩藤
D,治疗肾虚便秘，首选的方剂是,温脾汤,麻子仁丸,十枣汤,济川煎,黄龙汤
D,鼻渊的病因病机是,邪毒久留，血瘀鼻窍,热毒熏蒸，痰热蕴结,肺肾阴虚，鼻窍失养,脾胃湿热，熏蒸鼻窍,脾气虚弱，清阳不升
A,解表药主要用于,风寒或风热表证,水肿初起兼有表证,肺气不宣咳嗽,麻疹初起透发不畅,风湿性关节疼痛
C,具有理气健脾，燥湿化痰功效的药物是,枳实,佛手,陈皮,薤白,川楝子
A,巨幼红细胞性贫血的主要原因是,造血原料不足,造血功能障碍,慢性失血,红细胞破坏增多,慢性感染
C,桃核承气汤证的治法是,活血化瘀，软坚散结,清热化瘀，通下里实,活血化瘀，泻下里热,清热活血，分消湿热,以上均不是
E,三度房室传导阻滞时，可出现的心电图改变是,P-P不等，P-R一致,P-P不等，P-R渐长,"无P波，代之以""F""波，R-R不等","无P波，代之以""F""波，F与R成比例",P-P相等，R-R相等，P-R不等
B,具有凉血止血散瘀功效，尤善治尿血的药物是,白茅根,小蓟,血余炭,地榆,茜草
D,肾衰竭期,Ccr80～120mL/min,Ccr50～80mL/min,Ccr20～50mL/min,Ccr10～20mL/min,Ccr小于10mL/min
B,诸痿喘呕，皆属于,下,上,湿,火,心
B,男，14岁，咽喉疼痛3天。三天前受凉后发咽痛，吞咽痛逐渐加剧，伴颌下淋巴结肿痛，发热，面赤口渴，便结溲黄。检查喉核红肿，表面可见脓点，喉底及喉关肌膜红赤，T 39℃，舌红苔黄厚，脉滑数。其选用的方剂为(　　)。,疏风清热汤,清咽利膈汤,龙胆泻肝汤,参苓白术散,银翘散加减
C,《素问·灵兰秘典论》指出心的主要生理功能是,谋虑出焉,伎巧出焉,神明出焉,喜乐出焉,治节出焉
D,“春”的结构是,象形字,指事字,会意字,形声字,假借字
E,患者咽痛剧烈，吞咽困难，全身见高热，口渴引饮，便秘尿黄，舌质红，苔黄厚，脉数。检查见喉核红肿，表面有黄白色脓点。治疗应首选的方剂是,六君子汤,疏风清热汤,六味汤,百合固金汤,清咽利膈汤
D,栝蒌瞿麦丸证的病机为,肾阳不足，水气内停,膀胱气化不行,肺热伤津,肾阳不足，下寒上燥,水饮停胃
C,柿蒂能够,破气,补气,降气,纳气,疏肝
C,决定湿温病湿热孰轻孰重的主要因素是,邪气的盛衰,元气的盛衰,中气的盛衰,肾气的盛衰,宗气的盛衰
D,鼻息肉的别名是,鼻菌,鼻瘤,鼻痰包,鼻痔,鼻岩
C,水蛭的功效是,活血通经，下乳，消肿排脓,破血逐瘀，续筋接骨,破血通经，逐瘀消癥,活血祛瘀，行水消肿,破血逐瘀，止血定痛
B,中年人随年龄增长而继续上升的智力是,流体智力,晶体智力,特殊智力,一般智力,以上都不是
E,热壅血滞宜配伍,温里散寒药,清热凉血药,软坚散结药,活血药,清热药
D,湿浊蒙上，泌别失职证，其开窍方药应选用,至宝丹,安宫牛黄丸,玉枢丹,苏合香丸,清营汤
B,"临床上""见肝之病，知肝传脾，当先实脾""的防病原则属于",未病先防,既病防变,调理阴阳,扶正祛邪,治病求本
B,“木火刑金”在五行学说中属于,相乘,相侮,相生,子病及母,母病及子
C,胸痹缓急者，治宜,枳实薤白桂枝汤,瓜蒌薤白白酒汤,薏苡附子散,瓜蒌薤白半夏汤,橘枳姜汤
C,下列不属于耳鸣病机的是,肝胆火盛，上扰清窍,湿热时邪，蒙闭清窍,营血不足，清气不升,风邪上袭，经气闭阻,肝肾阴虚，虚阳上扰
C,患者，男，50岁。咳嗽喘促，呼多吸少动则益甚，声低息微，腰膝酸软，舌淡，脉沉细两尺无力。其病机是,肺气虚损,肺阴虚亏,肺肾气虚,肺肾阴虚,肾气虚衰
D,手足少阳经交接的部位在,目内眦,目眶下,拇指端,目外眦,鼻翼旁
C,正常口腔温度的范围是,36℃～37℃,36.2℃～37.3℃,36.3℃～37.2℃,36.5℃～37.7℃,36.3℃～37.5℃
E,组成中含有龟版、鳖甲、牡蛎的方剂是,牡蛎散,大补阴丸,镇肝息风汤,青蒿鳖甲汤,大定风珠
E,黄龙汤煎时“加桔梗一撮”的主要用意是,宣肺化痰止咳,宣肺祛痰利咽,宣肺利气排脓,升提以防正脱,宣肺以助通畅
C,食道异物取出术后最主要的处理为：,服用抗生素,卧床,禁食,禁声,练习发声
D,旋覆代赭汤证的病机是,脾运失职，聚湿成痰，胃气上逆,脾胃虚弱，痰湿内聚，胃气上逆,脾胃阳虚，寒痰中阻，升降失常,胃虚痰阻，虚气上逆,肝脾不调，胆热乘胃，升降失司
C,应先扶正后祛邪的是,真实假虚证,真虚假实证,虚实夹杂而正虚不耐攻之证,虚实夹杂而正虚尚耐攻之证,虚实夹杂而病邪容易扩散之证
A,临床上，脾虚湿滞证的表现是,虚实错杂,因实致虚,因虚致实,真实假虚,真虚假实
A,常咯出大量脓臭痰的疾病是,支气管扩张,慢性支气管炎,晚期肺癌,支气管哮喘,早期肺结核
D,(      )负责对实施情况进行监督检查。,上级主管单位,领导班子,行政职能部门,纪检监察纠风部门,
A,既能治疗瘰疬癣疮，又能治疗寒痰哮喘的药物是,砒石,炉甘石,铅丹,硼砂,轻粉
D,传染性非典型肺炎发病时间集中在哪个季节,冬季,春季,夏季,冬春季,春夏季
D,常表现为黏液脓血便伴里急后重的疾病是,伤寒,肠结核,Crohn病,细菌性痢疾,阿米巴痢疾
B,玉女煎的主治病证是,肝火犯胃证,胃热阴虚证,心经火热证,肝胆实火证,胃火上攻证
B,产于山东的道地药材是,党参,阿胶,人参,乌头,菊花
C,下列各项，不属不伤害原则真正意义的是,培养为病人高度负责的精神,保护病人健康和生命的理念,消除任何医疗伤害,避免使病人受到不应有的医疗伤害,正确对待医疗伤害现象
B,坐骨神经痛可出现的体征是,布鲁津斯基征,克尼格征,颈强直,霍夫曼征,肌阵挛
D,下列各项，组成药物中不含白芍的方剂是,羚角钩藤汤,镇肝熄风汤,大秦艽汤,天麻钩藤饮,大定风珠
B,牛蒡子的药性与归经是,甘，寒。归肺、肝经,辛、苦，寒。归肺、胃经,甘、苦，寒。归肺、肝经,辛、甘，凉。归肝、胃经,辛、苦，微寒。归肺、胃、小肠经
B,外感六淫中，常为其他外邪之先导的邪气是,暑邪,风邪,火邪,燥邪,湿邪
A,虚证的概念是,以正气不足，抗病能力低下为主的病理变化,正气不足，邪气亢盛的病理变化,邪气亢盛，正气日衰，脏腑机能减退的病理变化,正虚邪恋的病理变化,邪正相持的病理变化
D,检查镫骨是否固定常用(　　)。,任内氏试验,韦伯氏试验,施瓦巴赫氏试验,盖莱氏试验,纯音测听计检查法
A,在医德教育活动中，某科室通过播放白求恩、柯棣华、钟南山等优秀白衣战士的高尚事迹，激励广大医务工作者要大力弘扬勇于奉献的精神。这种教育方法是,典型示范,正面疏导,慎独,动机与效果相统一,理论与实践相结合
B,"不属于""现病史""的问诊内容的是",起病情况与患病时间,预防接种,伴随症状,诊治经过,一般情况
E,藿香正气散中不含有的药物是,白芷、茯苓,紫苏、白术,半夏、陈皮,半夏、厚朴,木香、苍术
